text,label,notes
"I was clapping when he went over the line, it was such a wholesome moment.",Analysis,Review manually; heuristic defaulted to Analysis.
Keeping the drivers motivated is a key part of their job. But you are right that his new engineer seems to get Lewis.,Analysis,"Contains explanation, evidence, or technical reasoning."
"Alex Jacques should just be a poet at this point, he’s too damn good at this. Is this off the dome?",Analysis,Review manually; heuristic defaulted to Analysis.
"He HAS to have these pre-planned, I'd love to ask him one day",Reaction,"Primarily emotional response, humor, or personal feeling."
He has to have a scratchpad full of potential commentary verses. It’s just too perfect how he can launch into these powerful monologues for the last lap and have the length just right to fit where he’s done at the flag,Analysis,Review manually; heuristic defaulted to Analysis.
Exactly. I imagine he keeps pre written notes on likely potential winners and at least notes for wildcards.,Analysis,Review manually; heuristic defaulted to Analysis.
"He almost certainly has something drawn up about being an unlikely winner, often apathetic, Newey’s design, dreaming of playing tennis, etc",Analysis,Review manually; heuristic defaulted to Analysis.
"He came to this sport with the dreams of a child, supported by a father who'd move heaven and earth for his boy. They built the dream team together, remade the factory. brought in the expertise of Adrian Newey and finally delivered this machine. Over the years driving and learning from the greatest drivers in our sport, a son who raced alongside Vettel and Alonso, he now rises to be a man who now takes the top step. Lance Stroll is the winner of the Monaco Gran Prix.",Analysis,Review manually; heuristic defaulted to Analysis.
I guess we’ll see later this year,Analysis,Review manually; heuristic defaulted to Analysis.
"Even if he has written the lines, it’s another matter to be able to deliver the lines with the passion he has",Analysis,Review manually; heuristic defaulted to Analysis.
"I remember an interview with a different announcer who was asked if they make up their iconic lines in advance of the event. The answer was yes, they do, but some of their most famous lines were made on the spot.",Analysis,Review manually; heuristic defaulted to Analysis.
"Not being snarky here, but it’s called “being a professional”. You can tell when some broadcasters take it more seriously than others. I’m sure they have a file with refrains for every driver, at every circuit. He’s got one hell of a producer too.",Analysis,Review manually; heuristic defaulted to Analysis.
"This is the thing. They've all been doing it for years, which will just create a sort of sixth sense for energy/timing/flow.",Analysis,Review manually; heuristic defaulted to Analysis.
My understanding of how some other commentators work is that a lot of “how could would this be” xyz scenarios prepare them for it actually happening and having a line for it,Analysis,Review manually; heuristic defaulted to Analysis.
"There's an excellent video of Crofty giving a little behind the scenes tour of their box, walking along the gangway between all the boxes and explaining what's happening. Then he walks into the Sky box, introduces Ant and the producer, points out some things like his track map and notes on the walls, and then put his headset on and goes straight into the live intro for a practice session.",Analysis,Review manually; heuristic defaulted to Analysis.
"Unless I misunderstood, I think David said something on the broadcast today about Alex being a perfectionist. Wouldn’t surprise me if he puts in lots of work on what he might say during potential historic wins.",Hot Take,Prediction or strong opinion with limited evidence.
"Of course he does. If you’re a commentator, you’re going to have something ready for if and when Lewis gets his first Ferrari win. He’s probably been sitting on this line since the start of 25. ",Analysis,Review manually; heuristic defaulted to Analysis.
That’s what I was wondering. Did he just come up with that beautiful line or was there a bank of quotes ready to go? I think he is just brilliant and raw. But even if they were pre-written…To pull them off in the heat of the moment with such emotion is not something many can do,Hot Take,Prediction or strong opinion with limited evidence.
I would think you'd prepare something special for potential wins like Charles's Monaco and Lewis' first for Ferrari.,Analysis,Review manually; heuristic defaulted to Analysis.
"And they're just some moments you KNOW you might need. Iike I can imagine he had ""The legend forged in silver resumes in red"" definitely written down to use",Analysis,Review manually; heuristic defaulted to Analysis.
"Not saying you can't make it up on the spot because some people can just do that, but having it prepared seems more likely to me.",Analysis,"Contains explanation, evidence, or technical reasoning."
"
I love that Mercedes' silver was reflected in the chromed silver McLaren livery Lewis won '08 in.

(And 2007 remains the best rookie season in history).",Reaction,"Primarily emotional response, humor, or personal feeling."
These guys are pros. Crofty has done a feature to showcase how much prep legwork goes into a session. There's a high chance that lines are prewritten for potential significant moments,Analysis,Review manually; heuristic defaulted to Analysis.
I just imagine him with a little pocket notebook and writing little F1 related haiku’s all day.,Analysis,Review manually; heuristic defaulted to Analysis.
And that's why F1TV > the rest. Alex Jacques is just great. Same with when Charles finally won Moncao.,Analysis,Review manually; heuristic defaulted to Analysis.
"The stands he saw built as a child, now rise for him as a man.

Fucking chills",Analysis,Review manually; heuristic defaulted to Analysis.
"Crofty also has some banger lines, especially on the rare occasion that he correctly identifies the driver he's talking about.",Analysis,Review manually; heuristic defaulted to Analysis.
"I'm wearing a shirt right now that has part of that commentary speech on it and ugh I love it so much

It's also ""The grandstands he saw built as a kid growing up now rise for him"" (sorry I can just look down right now and read it haha)",Reaction,"Primarily emotional response, humor, or personal feeling."
"And for the first time in 93 years, this fabled race has been won by one of their own! Charles Leclerc wins the Monaco Grand Prix!! I miss 2024 season so much.",Reaction,"Primarily emotional response, humor, or personal feeling."
"AJ is a F1 treasure. I grew up with Murray, and then everyone who followed until Crofty took the helm, but AJ for me is surpassing the late great GOAT which feels blasphemous to say... He's just that good.

He knows when to speak lines that read like poetry, when to give the commentary and weirdly when to be absolutely silent so you can hear the roar of the crowd too.

Plus I've met him when he was F2 main comms and he's stupidly friendly and knowledgeable about the whole F1 pyramid.",Analysis,Review manually; heuristic defaulted to Analysis.
"Watch the Monaco 24 highlights, its Alex Jacques",Analysis,Review manually; heuristic defaulted to Analysis.
I’m imagining Alex Jacques sitting alone at a doughnut shop trying out different lines and typing them into his iPhone Notes app ,Analysis,Review manually; heuristic defaulted to Analysis.
"Jesus, I've never heard that before. Thanks for linking it, now I'm all full of feels, dammit.",Hot Take,Prediction or strong opinion with limited evidence.
Man that was awesome. I see now why he’s a fan favorite. I was pretty neutral on him but this video plus his recent form has made him such a compelling figure.,Analysis,Review manually; heuristic defaulted to Analysis.
Alex Jacques wrote a book about F1 and it was a generational fumble to not have him do the audiobook narration.,Analysis,Review manually; heuristic defaulted to Analysis.
Absolutely unmatched. Commentary of Charles’s win in Monaco would even bring tears into a Charles hater’s eye. Powerful and emotional,Reaction,"Primarily emotional response, humor, or personal feeling."
What?? That publisher should be fired.,Analysis,Review manually; heuristic defaulted to Analysis.
Whereas Sky went for a pun about his mum being a hairdresser.,Analysis,Review manually; heuristic defaulted to Analysis.
"We'll never know, because there aren't any.",Analysis,"Contains explanation, evidence, or technical reasoning."
This comment made me actually laugh out loud.,Reaction,"Primarily emotional response, humor, or personal feeling."
His eulogy for Hubert back when he was doing F2 commentary is another great one.,Analysis,Review manually; heuristic defaulted to Analysis.
"not only is Alex Jacques goated for commentary like that and play by play, but F1 also have insanely great colour commentators. Jolyon Palmer and David Coulthard are fucking awesome.",Analysis,Review manually; heuristic defaulted to Analysis.
"“Lando Norris tried to play Max Verstappen at his own game, the problem is that he doesn't know the rules of that game.”

DC is a killer in his own right",Analysis,Review manually; heuristic defaulted to Analysis.
Thankfully we also get this commentary for free in the UK on channel 4. Love Jolyon too he's excellent,Reaction,"Primarily emotional response, humor, or personal feeling."
Alex Jacques is a poet with a microphone. F1TV has been the best way to watch F1 since he started commentating for them.,Analysis,Review manually; heuristic defaulted to Analysis.
Yes. it's good. The bottom line for me was Ferrari were faster then Mercedes in the race. Didnt see that coming. I thought luck or mistakes would have to happen for Lewis to win. But he was genuinely faster.,Analysis,"Contains explanation, evidence, or technical reasoning."
"Kimi and Toto seems to think that they had enough car performance to win this one.

Russell was just slow. Kimi was significantly faster.",Analysis,"Contains explanation, evidence, or technical reasoning."
"Until the lap after Kimi overtake George, I thought he was managing his tires the whole race to make the 2 stop work (and he might as well done that in most of the race) but yeah he also had less pace compare to Kimi. However he was properly fast on the Medium so maybe he could have make a 3 stop work as well. Seems to have less confidence on the hards.

What strike me was also how different Kimi and George's lines were. I'm not sure they took a single corner the same way, that's pretty rare for the same car.",Analysis,"Contains explanation, evidence, or technical reasoning."
Genuinely that quote made me imagine like a silver sword wrapped in a red leather hilt.,Analysis,Review manually; heuristic defaulted to Analysis.
Remember who you are on the other side,Analysis,Review manually; heuristic defaulted to Analysis.
"If Lewis wins his 8th  I think imma model a ""Lewis Hamilton"" sword inspired by that quote",Hot Take,Prediction or strong opinion with limited evidence.
I’ll buy it from you!! Heck take my money already whether he gets the title or not,Reaction,"Primarily emotional response, humor, or personal feeling."
"It’s not clear to me how people forget those days. The dude was a beast at McLaren, 21 wins, 26 poles. Anyone who watched then knew he was par excellence over a lap, even with the second or third best car, averaging 3 wins and 4 poles a season. He had a solid chance at the 2012 WDC if not for terrible reliability, and was 1 DNF from a title in his rookie season.",Analysis,Review manually; heuristic defaulted to Analysis.
